2025-04-07 13:22:19,972 - INFO - Env 09, Goal (-22.7, 023.4), Episode 00000, setp 257, Reward -49.4, Crashed,
2025-04-07 13:22:19,972 - INFO - Env 08, Goal (002.2, 017.8), Episode 00000, setp 658, Reward -53.3, Crashed,
2025-04-07 13:22:19,972 - INFO - Env 07, Goal (-34.9, 029.6), Episode 00000, setp 259, Reward -157.4, Crashed,
2025-04-07 13:22:19,972 - INFO - Env 06, Goal (011.7, 004.7), Episode 00000, setp 1452, Reward 11.1 , Reach Goal,
2025-04-07 13:22:24,883 - INFO - Env 16, Goal (030.2, 027.9), Episode 00000, setp 1501, Reward -7.3 , Time out,
2025-04-07 13:22:24,883 - INFO - Env 18, Goal (018.7, -33.9), Episode 00000, setp 1501, Reward -40.6, Time out,
2025-04-07 13:22:24,883 - INFO - Env 12, Goal (006.7, 019.0), Episode 00000, setp 1501, Reward -4.6 , Time out,
2025-04-07 13:22:24,883 - INFO - Env 01, Goal (023.2, 016.6), Episode 00000, setp 1016, Reward -43.2, Crashed,
2025-04-07 13:22:24,883 - INFO - Env 19, Goal (-30.4, 030.5), Episode 00000, setp 1501, Reward -5.5 , Time out,
2025-04-07 13:22:24,883 - INFO - Env 02, Goal (019.3, 008.7), Episode 00000, setp 1501, Reward -5.4 , Time out,
2025-04-07 13:22:24,883 - INFO - Env 04, Goal (-19.1, 006.1), Episode 00000, setp 1501, Reward -11.3, Time out,
2025-04-07 13:22:24,883 - INFO - Env 17, Goal (-19.2, -08.9), Episode 00000, setp 1501, Reward -27.9, Time out,
2025-04-07 13:22:24,883 - INFO - Env 13, Goal (-03.3, 016.9), Episode 00000, setp 1501, Reward -10.4, Time out,
2025-04-07 13:22:24,883 - INFO - Env 05, Goal (000.1, -21.5), Episode 00000, setp 1501, Reward -20.4, Time out,
2025-04-07 13:22:24,883 - INFO - Env 03, Goal (009.4, -35.0), Episode 00000, setp 257, Reward -153.7, Crashed,
2025-04-07 13:22:24,883 - INFO - Env 10, Goal (-28.2, 023.2), Episode 00000, setp 1501, Reward -33.7, Time out,
2025-04-07 13:22:24,884 - INFO - Env 14, Goal (-09.3, 032.2), Episode 00000, setp 1501, Reward -5.9 , Time out,
2025-04-07 13:22:24,884 - INFO - Env 21, Goal (031.9, -27.6), Episode 00000, setp 257, Reward -107.1, Crashed,
2025-04-07 13:22:24,884 - INFO - Env 20, Goal (002.3, -05.6), Episode 00000, setp 1501, Reward -8.2 , Time out,
2025-04-07 13:22:24,884 - INFO - Env 11, Goal (-12.0, -22.7), Episode 00000, setp 1501, Reward -4.8 , Time out,
2025-04-07 13:22:24,884 - INFO - Env 15, Goal (-06.6, -03.7), Episode 00000, setp 1501, Reward -22.2, Time out,
2025-04-07 13:22:24,884 - INFO - Env 22, Goal (-35.0, 009.0), Episode 00000, setp 1501, Reward -5.4 , Time out,
2025-04-07 13:22:24,886 - INFO - Env 23, Goal (006.8, 024.1), Episode 00000, setp 1501, Reward -19.2, Time out,
2025-04-07 13:24:57,583 - INFO - Env 06, Goal (011.7, 004.7), Episode 00001, setp 1472, Reward 10.5 , Reach Goal,
2025-04-07 13:24:57,583 - INFO - Env 08, Goal (002.2, 017.8), Episode 00001, setp 1109, Reward -25.7, Crashed,
2025-04-07 13:24:57,583 - INFO - Env 07, Goal (-34.9, 029.6), Episode 00001, setp 616, Reward -111.4, Crashed,
2025-04-07 13:24:57,583 - INFO - Env 09, Goal (-22.7, 023.4), Episode 00001, setp 1420, Reward 8.1  , Reach Goal,
2025-04-07 13:25:06,279 - INFO - Env 11, Goal (-12.0, -22.7), Episode 00001, setp 1501, Reward -4.4 , Time out,
2025-04-07 13:25:06,279 - INFO - Env 12, Goal (006.7, 019.0), Episode 00001, setp 1193, Reward 8.3  , Reach Goal,
2025-04-07 13:25:06,279 - INFO - Env 13, Goal (-03.3, 016.9), Episode 00001, setp 1473, Reward 8.8  , Reach Goal,
2025-04-07 13:25:06,279 - INFO - Env 10, Goal (-28.2, 023.2), Episode 00001, setp 524, Reward -113.8, Crashed,
2025-04-07 13:25:06,279 - INFO - Env 03, Goal (009.4, -35.0), Episode 00001, setp 276, Reward -153.3, Crashed,
2025-04-07 13:25:06,279 - INFO - Env 04, Goal (-19.1, 006.1), Episode 00001, setp 439, Reward -62.7, Crashed,
2025-04-07 13:25:06,279 - INFO - Env 01, Goal (023.2, 016.6), Episode 00001, setp 529, Reward -52.8, Crashed,
2025-04-07 13:25:06,279 - INFO - Env 15, Goal (-06.6, -03.7), Episode 00001, setp 1216, Reward -38.3, Crashed,
2025-04-07 13:25:06,279 - INFO - Env 02, Goal (019.3, 008.7), Episode 00001, setp 1200, Reward 10.0 , Reach Goal,
2025-04-07 13:25:06,279 - INFO - Env 14, Goal (-09.3, 032.2), Episode 00001, setp 1408, Reward 8.9  , Reach Goal,
2025-04-07 13:25:06,279 - INFO - Env 05, Goal (000.1, -21.5), Episode 00001, setp 441, Reward -55.6, Crashed,
2025-04-07 13:25:06,279 - INFO - Env 22, Goal (-35.0, 009.0), Episode 00001, setp 1501, Reward -8.3 , Time out,
2025-04-07 13:25:06,279 - INFO - Env 19, Goal (-30.4, 030.5), Episode 00001, setp 426, Reward 9.3  , Reach Goal,
2025-04-07 13:25:06,279 - INFO - Env 23, Goal (006.8, 024.1), Episode 00001, setp 1060, Reward -26.5, Crashed,
2025-04-07 13:25:06,279 - INFO - Env 17, Goal (-19.2, -08.9), Episode 00001, setp 560, Reward -52.2, Crashed,
2025-04-07 13:25:06,279 - INFO - Env 16, Goal (030.2, 027.9), Episode 00001, setp 1501, Reward -5.5 , Time out,
2025-04-07 13:25:06,279 - INFO - Env 20, Goal (002.3, -05.6), Episode 00001, setp 1412, Reward 11.2 , Reach Goal,
2025-04-07 13:25:06,280 - INFO - Env 21, Goal (031.9, -27.6), Episode 00001, setp 1501, Reward -14.7, Time out,
2025-04-07 13:25:06,287 - INFO - Env 18, Goal (018.7, -33.9), Episode 00001, setp 1501, Reward -7.0 , Time out,
2025-04-07 13:26:42,178 - INFO - Env 15, Goal (-06.6, -03.7), Episode 00002, setp 342, Reward -68.6, Crashed,
2025-04-07 13:26:42,178 - INFO - Env 16, Goal (030.2, 027.9), Episode 00002, setp 808, Reward 9.3  , Reach Goal,
2025-04-07 13:26:42,178 - INFO - Env 18, Goal (018.7, -33.9), Episode 00002, setp 353, Reward -118.5, Crashed,
